GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0006355,"regulation of transcription, DNA-templated","metabolic process,cellular process,biological regulation",976,0.03675390698550179
GO:0006952,defense response,response to stimulus,915,0.03445678779890793
GO:0042742,defense response to bacterium,response to stimulus,616,0.023197138015439652
GO:0009737,response to abscisic acid,response to stimulus,598,0.022519299566936546
GO:0016567,protein ubiquitination,"cellular process,metabolic process",595,0.02240632649218603
GO:0009651,response to salt stress,response to stimulus,547,0.020598757296177744
GO:0009793,embryo development ending in seed dormancy,developmental process,480,0.018075691960082848
GO:0006468,protein phosphorylation,"cellular process,metabolic process",471,0.017736772735831293
GO:0006397,mRNA processing,"cellular process,metabolic process",452,0.01702127659574468
GO:0009409,response to cold,response to stimulus,443,0.016682357371493126
GO:0051301,cell division,cellular process,437,0.016456411221992092
GO:0009414,response to water deprivation,response to stimulus,426,0.016042176614573526
GO:0007275,multicellular organism development,developmental process,422,0.015891545848239503
GO:0045893,"positive regulation of transcription, DNA-templated","metabolic process,cellular process,biological regulation",398,0.01498776125023536
GO:0046777,protein autophosphorylation,"cellular process,metabolic process",369,0.013895688194313688
GO:0015031,protein transport,localization,364,0.01370739973639616
GO:0046686,response to cadmium ion,response to stimulus,361,0.01359442666164564
GO:0050832,defense response to fungus,response to stimulus,360,0.013556768970062135
GO:0071555,cell wall organization,"cellular process,cellular component organization",358,0.013481453586895124
GO:0009451,RNA modification,"cellular process,metabolic process",348,0.013104876671060065
GO:0009738,abscisic acid-activated signaling pathway,"biological regulation,cellular process",338,0.012728299755225004
GO:0009908,flower development,developmental process,336,0.012652984372057993
GO:0006281,DNA repair,"cellular process,metabolic process,response to stimulus",333,0.012540011297307476
GO:0030154,cell differentiation,"cellular process,developmental process",330,0.012427038222556957
GO:0006412,translation,"cellular process,metabolic process",316,0.011899830540387873
GO:0048364,root development,developmental process,308,0.011598569007719826
GO:0007165,signal transduction,"biological regulation,cellular process",308,0.011598569007719826
GO:0009611,response to wounding,response to stimulus,300,0.011297307475051779
GO:0005975,carbohydrate metabolic process,metabolic process,288,0.010845415176049708
GO:0009733,response to auxin,response to stimulus,287,0.010807757484466203
GO:0045892,"negative regulation of transcription, DNA-templated","metabolic process,cellular process,biological regulation",285,0.01073244210129919
GO:0009555,pollen development,developmental process,264,0.009941630578045566
GO:0006511,ubiquitin-dependent protein catabolic process,"cellular process,metabolic process",260,0.009790999811711542
GO:0006886,intracellular protein transport,"cellular process,localization",257,0.009678026736961024
GO:0009734,auxin-activated signaling pathway,"biological regulation,cellular process",251,0.009452080587459988
GO:0071456,cellular response to hypoxia,"cellular process,response to stimulus",248,0.009339107512709471
GO:0006979,response to oxidative stress,response to stimulus,245,0.009226134437958953
GO:0008380,RNA splicing,"cellular process,metabolic process",244,0.009188476746375447
GO:0009408,response to heat,response to stimulus,244,0.009188476746375447
GO:0009658,chloroplast organization,"cellular process,cellular component organization",241,0.00907550367162493
GO:0009416,response to light stimulus,response to stimulus,236,0.0088872152137074
GO:0007049,cell cycle,cellular process,224,0.00843532291470533
GO:0009626,plant-type hypersensitive response,"cellular process,response to stimulus",221,0.00832234983995481
GO:0040008,regulation of growth,biological regulation,208,0.007832799849369234
GO:0006970,response to osmotic stress,response to stimulus,207,0.007795142157785728
GO:0010150,leaf senescence,developmental process,202,0.007606853699868198
GO:0000398,"mRNA splicing, via spliceosome","cellular process,metabolic process",197,0.007418565241950668
GO:0009817,defense response to fungus,response to stimulus,196,0.007380907550367162
GO:0006364,rRNA processing,"cellular process,metabolic process",194,0.007305592167200151
GO:0045087,innate immune response,response to stimulus,192,0.007230276784033139
GO:0009617,response to bacterium,response to stimulus,179,0.006740726793447562
GO:0009873,ethylene-activated signaling pathway,"biological regulation,cellular process",178,0.006703069101864056
GO:0010228,vegetative to reproductive phase transition of meristem,developmental process,174,0.006552438335530032
GO:0045944,positive regulation of transcription by RNA polymerase II,"metabolic process,cellular process,biological regulation",174,0.006552438335530032
GO:0009723,response to ethylene,response to stimulus,173,0.006514780643946526
GO:0032259,methylation,metabolic process,172,0.00647712295236302
GO:0043068,positive regulation of programmed cell death,"cellular process,biological regulation",171,0.006439465260779514
GO:0048366,leaf development,developmental process,169,0.006364149877612502
GO:0009826,unidimensional cell growth,"cellular process,developmental process",167,0.006288834494445491
GO:0080167,response to karrikin,response to stimulus,166,0.006251176802861984
GO:0009751,response to salicylic acid,response to stimulus,164,0.006175861419694973
GO:0016192,vesicle-mediated transport,"localization,cellular process",162,0.0061005460365279604
GO:0007623,circadian rhythm,none,161,0.006062888344944455
GO:0006508,proteolysis,metabolic process,158,0.005949915270193937
GO:0006325,chromatin organization,"cellular process,cellular component organization",158,0.005949915270193937
GO:0010200,response to chitin,response to stimulus,157,0.005912257578610431
GO:0006310,DNA recombination,"cellular process,metabolic process",157,0.005912257578610431
GO:0016032,viral process,none,153,0.005761626812276407
GO:0009753,response to jasmonic acid,response to stimulus,152,0.005723969120692902
GO:0006351,"transcription, DNA-templated","metabolic process,cellular process",151,0.005686311429109396
GO:0006974,cellular response to DNA damage stimulus,"response to stimulus,cellular process",151,0.005686311429109396
GO:0006457,protein folding,cellular process,150,0.005648653737525889
GO:0009620,response to fungus,response to stimulus,149,0.005610996045942384
GO:0055114,obsolete oxidation-reduction process,none,149,0.005610996045942384
GO:0045454,cell redox homeostasis,"biological regulation,cellular process",146,0.005498022971191866
GO:0035556,intracellular signal transduction,"biological regulation,cellular process",144,0.005422707588024854
GO:0009909,regulation of flower development,"biological regulation,developmental process",141,0.005309734513274336
GO:0009742,brassinosteroid mediated signaling pathway,"biological regulation,cellular process",141,0.005309734513274336
GO:0006357,regulation of transcription by RNA polymerase II,"metabolic process,cellular process,biological regulation",140,0.0052720768216908305
GO:0016042,lipid catabolic process,metabolic process,139,0.005234419130107325
GO:0015979,photosynthesis,"cellular process,metabolic process",139,0.005234419130107325
GO:0019677,NAD catabolic process,"metabolic process,cellular process",137,0.0051591037469403125
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,"cellular process,metabolic process",137,0.0051591037469403125
GO:0009624,response to nematode,response to stimulus,136,0.005121446055356807
GO:0009845,seed germination,none,131,0.004933157597439277
GO:0009755,hormone-mediated signaling pathway,"biological regulation,cellular process",129,0.004857842214272265
GO:0006260,DNA replication,"cellular process,metabolic process",129,0.004857842214272265
GO:0009860,pollen tube growth,"cellular process,developmental process",124,0.004669553756354736
GO:0006486,protein glycosylation,"cellular process,metabolic process",122,0.004594238373187723
GO:0055085,transmembrane transport,"localization,cellular process",122,0.004594238373187723
GO:0051321,meiotic cell cycle,cellular process,119,0.004481265298437205
GO:0010468,regulation of gene expression,"biological regulation,metabolic process",118,0.0044436076068537
GO:0007018,microtubule-based movement,cellular process,117,0.004405949915270194
GO:0031047,gene silencing by RNA,"cellular process,metabolic process,biological regulation",116,0.004368292223686688
GO:0009744,response to sucrose,response to stimulus,114,0.004292976840519676
GO:0080156,mitochondrial mRNA modification,"metabolic process,cellular process",114,0.004292976840519676
GO:0009553,embryo sac development,developmental process,112,0.004217661457352665
GO:0006633,fatty acid biosynthetic process,"cellular process,metabolic process",112,0.004217661457352665
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,"localization,cellular process",110,0.004142346074185652
GO:0030163,protein catabolic process,metabolic process,110,0.004142346074185652
GO:0016036,cellular response to phosphate starvation,"cellular process,response to stimulus",109,0.004104688382602147
GO:0042542,response to hydrogen peroxide,response to stimulus,107,0.004029372999435134
GO:0010224,response to UV-B,response to stimulus,107,0.004029372999435134
GO:0009816,defense response to bacterium,response to stimulus,104,0.003916399924684617
GO:0009965,leaf morphogenesis,developmental process,104,0.003916399924684617
GO:0000724,double-strand break repair via homologous recombination,"metabolic process,cellular process,response to stimulus",104,0.003916399924684617
GO:0048316,seed development,developmental process,103,0.003878742233101111
GO:0009846,pollen germination,none,100,0.003765769158350593
GO:0030433,ubiquitin-dependent ERAD pathway,"metabolic process,cellular process,response to stimulus",98,0.003690453775183581
GO:0018105,peptidyl-serine phosphorylation,"cellular process,metabolic process",97,0.0036527960836000755
GO:0006417,regulation of translation,"metabolic process,cellular process,biological regulation",96,0.0036151383920165693
GO:0010119,regulation of stomatal movement,"biological regulation,cellular process",96,0.0036151383920165693
GO:0000122,negative regulation of transcription by RNA polymerase II,"metabolic process,cellular process,biological regulation",96,0.0036151383920165693
GO:0048367,shoot system development,developmental process,95,0.0035774807004330636
GO:0009637,response to blue light,response to stimulus,95,0.0035774807004330636
