GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
nucleus,wolfii-OEWO,5881,0.19878988642509465
integral component of membrane,wolfii-OEWO,4675,0.15802460789616007
plasma membrane,wolfii-OEWO,3772,0.1275013520822066
cytosol,wolfii-OEWO,3713,0.1255070308274743
cytoplasm,wolfii-OEWO,3547,0.11989588967009195
chloroplast,wolfii-OEWO,2504,0.08464034613304489
mitochondrion,wolfii-OEWO,1751,0.059187398593834505
Golgi apparatus,wolfii-OEWO,1069,0.03613439697133586
plasmodesma,wolfii-OEWO,961,0.03248377501352082
chloroplast stroma,wolfii-OEWO,928,0.03136830719307734
endoplasmic reticulum,wolfii-OEWO,915,0.030928880475932938
chloroplast thylakoid membrane,wolfii-OEWO,804,0.02717685235262304
plastid,wolfii-OEWO,764,0.025824770146024877
extracellular region,wolfii-OEWO,736,0.024878312601406164
membrane,wolfii-OEWO,730,0.024675500270416442
nucleolus,wolfii-OEWO,679,0.022951595457003787
chloroplast envelope,wolfii-OEWO,663,0.022410762574364522
endoplasmic reticulum membrane,wolfii-OEWO,647,0.021869929691725257
Golgi membrane,wolfii-OEWO,644,0.021768523526230394
vacuole,wolfii-OEWO,614,0.020754461871281774
vacuolar membrane,wolfii-OEWO,582,0.019672796106003244
cell wall,wolfii-OEWO,509,0.0172052460789616
intracellular membrane-bounded organelle,wolfii-OEWO,493,0.016664413196322336
obsolete cell,wolfii-OEWO,484,0.016360194699837752
apoplast,wolfii-OEWO,447,0.015109518658734451
nucleoplasm,wolfii-OEWO,440,0.014872904272579772
trans-Golgi network,wolfii-OEWO,381,0.012878583017847485
endosome,wolfii-OEWO,379,0.012810978907517577
peroxisome,wolfii-OEWO,325,0.01098566792861006
chloroplast membrane,wolfii-OEWO,303,0.01024202271498107
thylakoid,wolfii-OEWO,292,0.009870200108166577
microtubule,wolfii-OEWO,291,0.009836398053001622
chloroplast thylakoid,wolfii-OEWO,259,0.008754732287723093
plastoglobule,wolfii-OEWO,244,0.008247701460248783
nuclear speck,wolfii-OEWO,210,0.007098431584640346
photosystem I,wolfii-OEWO,202,0.006828015143320714
host cell nucleus,wolfii-OEWO,196,0.00662520281233099
endomembrane system,wolfii-OEWO,193,0.006523796646836127
mitochondrial inner membrane,wolfii-OEWO,190,0.0064223904813412655
ribosome,wolfii-OEWO,178,0.006016765819361817
integral component of plasma membrane,wolfii-OEWO,176,0.005949161709031909
photosystem II,wolfii-OEWO,169,0.005712547322877231
spliceosomal complex,wolfii-OEWO,168,0.005678745267712277
anchored component of plasma membrane,wolfii-OEWO,166,0.0056111411573823685
plant-type vacuole membrane,wolfii-OEWO,163,0.005509734991887507
plant-type cell wall,wolfii-OEWO,160,0.005408328826392645
anchored component of membrane,wolfii-OEWO,151,0.005104110329908059
cytosolic ribosome,wolfii-OEWO,149,0.00503650621957815
cytoskeleton,wolfii-OEWO,147,0.004968902109248242
endosome membrane,wolfii-OEWO,144,0.0048674959437533805
