GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0005634,nucleus,"organelle,cellular anatomical entity",5943,0.22379966108077576
GO:0016021,integral component of membrane,cellular anatomical entity,3985,0.15006590096027114
GO:0005829,cytosol,cellular anatomical entity,3881,0.14614950103558652
GO:0005886,plasma membrane,"cellular anatomical entity,membrane",3776,0.1421954434193184
GO:0005737,cytoplasm,cellular anatomical entity,3632,0.13677273583129354
GO:0009507,chloroplast,"organelle,cellular anatomical entity",2302,0.08668800602523065
GO:0005739,mitochondrion,"organelle,cellular anatomical entity",2080,0.07832799849369233
GO:0009506,plasmodesma,"cell junction,cellular anatomical entity",1266,0.047674637544718505
GO:0005794,Golgi apparatus,"organelle,cellular anatomical entity",1146,0.0431557145546978
GO:0005783,endoplasmic reticulum,"organelle,cellular anatomical entity",1113,0.0419130107324421
GO:0016020,membrane,cellular anatomical entity,980,0.03690453775183581
GO:0009536,plastid,"organelle,cellular anatomical entity",910,0.034268499340990397
GO:0005576,extracellular region,cellular anatomical entity,883,0.03325174166823574
GO:0009570,chloroplast stroma,cellular anatomical entity,788,0.029674260967802672
GO:0005789,endoplasmic reticulum membrane,"cellular anatomical entity,membrane",764,0.028770476369798532
GO:0005730,nucleolus,"organelle,cellular anatomical entity",711,0.026774618715872715
GO:0005654,nucleoplasm,cellular anatomical entity,696,0.02620975334212013
GO:0005773,vacuole,"organelle,cellular anatomical entity",693,0.02609678026736961
GO:0009941,chloroplast envelope,"envelope,cellular anatomical entity",657,0.024741103370363397
GO:0005774,vacuolar membrane,"membrane,cellular anatomical entity",632,0.023799661080775747
GO:0043231,intracellular membrane-bounded organelle,"organelle,cellular anatomical entity",625,0.023536057239691207
GO:0005618,cell wall,cellular anatomical entity,587,0.022105064959517983
GO:0000139,Golgi membrane,"membrane,cellular anatomical entity",587,0.022105064959517983
GO:0005623,obsolete cell,none,522,0.019657315006590095
GO:0009535,chloroplast thylakoid membrane,"membrane,cellular anatomical entity",507,0.019092449632837506
GO:0005768,endosome,"organelle,cellular anatomical entity",461,0.017360195819996233
GO:0048046,apoplast,"extracellular region,cellular anatomical entity",435,0.01638109583882508
GO:0005802,trans-Golgi network,cellular anatomical entity,383,0.014422895876482772
GO:0005777,peroxisome,"organelle,cellular anatomical entity",322,0.01212577668988891
GO:0005874,microtubule,"supramolecular complex,cellular anatomical entity",283,0.010657126718132178
GO:0009534,chloroplast thylakoid,cellular anatomical entity,237,0.008924872905290905
GO:0031969,chloroplast membrane,"membrane,cellular anatomical entity",233,0.008774242138956882
GO:0009505,plant-type cell wall,cellular anatomical entity,218,0.008209376765204293
GO:0009579,thylakoid,cellular anatomical entity,218,0.008209376765204293
GO:0016607,nuclear speck,cellular anatomical entity,215,0.008096403690453776
GO:0010008,endosome membrane,"membrane,cellular anatomical entity",202,0.007606853699868198
GO:0005840,ribosome,"organelle,cellular anatomical entity",198,0.007456222933534175
GO:0012505,endomembrane system,cellular anatomical entity,192,0.007230276784033139
GO:0005743,mitochondrial inner membrane,"membrane,cellular anatomical entity",188,0.007079646017699115
GO:0042025,host cell nucleus,cellular anatomical entity,175,0.006590096027113538
GO:0009524,phragmoplast,cellular anatomical entity,168,0.006326492186028996
GO:0005856,cytoskeleton,"organelle,cellular anatomical entity",167,0.006288834494445491
GO:0005615,extracellular space,cellular anatomical entity,165,0.006213519111278478
GO:0005887,integral component of plasma membrane,cellular anatomical entity,160,0.006025230653360949
GO:0048471,perinuclear region of cytoplasm,cellular anatomical entity,160,0.006025230653360949
GO:0022626,cytosolic ribosome,"organelle,cellular anatomical entity",159,0.005987572961777443
GO:0070062,extracellular exosome,"organelle,cellular anatomical entity",159,0.005987572961777443
GO:0099503,secretory vesicle,"organelle,cellular anatomical entity",155,0.00583694219544342
GO:0009705,plant-type vacuole membrane,"membrane,cellular anatomical entity",153,0.005761626812276407
GO:0031225,anchored component of membrane,cellular anatomical entity,153,0.005761626812276407
GO:0046658,anchored component of plasma membrane,cellular anatomical entity,152,0.005723969120692902
GO:0031965,nuclear membrane,"cellular anatomical entity,membrane",145,0.00546036527960836
GO:0005635,nuclear envelope,"cellular anatomical entity,envelope",141,0.005309734513274336
