GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0005524,ATP binding,binding,3251,0.12242515533797778
GO:0046872,metal ion binding,binding,2613,0.098399548107701
GO:0003677,DNA binding,binding,1459,0.05494257202033515
GO:0003700,DNA-binding transcription factor activity,transcription regulator activity,1107,0.041687064582941066
GO:0003723,RNA binding,binding,1088,0.040971568442854454
GO:0008270,zinc ion binding,binding,980,0.03690453775183581
GO:0004674,protein serine/threonine kinase activity,catalytic activity,956,0.03600075315383167
GO:0043565,sequence-specific DNA binding,binding,549,0.020674072679344756
GO:0042802,identical protein binding,binding,500,0.018828845791752966
GO:0042803,protein homodimerization activity,binding,492,0.018527584259084916
GO:0003729,mRNA binding,binding,454,0.017096591978911693
GO:0004672,protein kinase activity,catalytic activity,424,0.015966861231406514
GO:0016887,ATPase activity,catalytic activity,406,0.015289022782903408
GO:0004842,ubiquitin-protein transferase activity,catalytic activity,359,0.01351911127847863
GO:0003735,structural constituent of ribosome,structural molecule activity,327,0.01231406514780644
GO:0005516,calmodulin binding,binding,326,0.012276407456222934
GO:0016491,oxidoreductase activity,catalytic activity,296,0.011146676708717756
GO:0005525,GTP binding,binding,291,0.010958388250800226
GO:0005509,calcium ion binding,binding,283,0.010657126718132178
GO:0043531,ADP binding,binding,276,0.010393522877047636
GO:0061630,ubiquitin protein ligase activity,catalytic activity,251,0.009452080587459988
GO:0016787,hydrolase activity,catalytic activity,245,0.009226134437958953
GO:0008017,microtubule binding,binding,244,0.009188476746375447
GO:0004675,transmembrane receptor protein serine/threonine kinase activity,"signaling receptor activity,molecular transducer activity,catalytic activity",215,0.008096403690453776
GO:0046983,protein dimerization activity,binding,212,0.007983430615703257
GO:0003676,nucleic acid binding,binding,204,0.00768216908303521
GO:0003682,chromatin binding,binding,198,0.007456222933534175
GO:0000287,magnesium ion binding,binding,194,0.007305592167200151
GO:0061809,"NAD+ nucleotidase, cyclic ADP-ribose generating",catalytic activity,188,0.007079646017699115
GO:0050135,NAD(P)+ nucleosidase activity,catalytic activity,188,0.007079646017699115
GO:0016301,kinase activity,catalytic activity,188,0.007079646017699115
GO:0003924,GTPase activity,catalytic activity,186,0.0070043306345321035
GO:0005506,iron ion binding,binding,183,0.0068913575597815855
GO:0020037,heme binding,binding,182,0.00685369986819808
GO:0043621,protein self-association,binding,182,0.00685369986819808
GO:0030246,carbohydrate binding,binding,181,0.006816042176614573
GO:0005507,copper ion binding,binding,180,0.0067783844850310675
GO:0016757,"transferase activity, transferring glycosyl groups",catalytic activity,171,0.006439465260779514
GO:0003724,RNA helicase activity,catalytic activity,164,0.006175861419694973
GO:0051082,unfolded protein binding,binding,163,0.006138203728111467
