Taxon,Protein ID,Search Term,Phenolic Protein
affinis-GVCB,TRINITY_DN197_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
affinis-GVCB,TRINITY_DN468_c0_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
affinis-GVCB,TRINITY_DN468_c0_g1_i2.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
affinis-GVCB,TRINITY_DN510_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c0_g1_i4.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c1_g1_i10.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c1_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c1_g1_i5.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN510_c1_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
affinis-GVCB,TRINITY_DN821_c0_g3_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
affinis-GVCB,TRINITY_DN821_c0_g2_i5.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN821_c0_g2_i8.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN821_c0_g2_i4.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN821_c0_g2_i4.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN821_c0_g2_i7.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN821_c0_g2_i7.p2,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
affinis-GVCB,TRINITY_DN1331_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
affinis-GVCB,TRINITY_DN1331_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
affinis-GVCB,TRINITY_DN1331_c0_g1_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
affinis-GVCB,TRINITY_DN1578_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
affinis-GVCB,TRINITY_DN2021_c0_g1_i4.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
affinis-GVCB,TRINITY_DN2021_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
affinis-GVCB,TRINITY_DN2021_c0_g2_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
affinis-GVCB,TRINITY_DN2352_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase CYP75B137 {ECO:0000305}
affinis-GVCB,TRINITY_DN2799_c0_g1_i3.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
affinis-GVCB,TRINITY_DN2799_c0_g1_i2.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
affinis-GVCB,TRINITY_DN3299_c0_g1_i3.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN3299_c0_g1_i5.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN3299_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN4028_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
affinis-GVCB,TRINITY_DN4028_c1_g2_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
affinis-GVCB,TRINITY_DN4028_c1_g2_i4.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
affinis-GVCB,TRINITY_DN4448_c0_g2_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
affinis-GVCB,TRINITY_DN7587_c0_g2_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
affinis-GVCB,TRINITY_DN8703_c0_g1_i2.p1,Chalcone synthase,Chalcone synthase 2
affinis-GVCB,TRINITY_DN8703_c0_g1_i3.p1,Chalcone synthase,Chalcone synthase 1
affinis-GVCB,TRINITY_DN8703_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
affinis-GVCB,TRINITY_DN9977_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
affinis-GVCB,TRINITY_DN9977_c0_g1_i3.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
affinis-GVCB,TRINITY_DN11818_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
affinis-GVCB,TRINITY_DN11891_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
affinis-GVCB,TRINITY_DN11891_c0_g2_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
affinis-GVCB,TRINITY_DN13086_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN15647_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN15647_c0_g2_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
